Id,Naziv
22,Radioterapija i onkologija - Kontrolni pregled
21,Radioterapija i onkologija - Prvi pregled
940,Radioterapija na kobalt-bombi
941,Radioterapija na linearnom akceleratoru
1036,Razvojna gimnastika
753,Rektoskopija
648,Reparacija umbilikalne hernije
30,Reumatologija (Fizikalna medicina) - Kontrolni pregled
29,Reumatologija (Fizikalna medicina) - Prvi pregled
14,Reumatologija (Interna medicina) - Kontrolni pregled
13,Reumatologija (Interna medicina) - Prvi pregled
1388,Reumatologija - konzultacija bez pacijenta
1392,Reumatologija - konzultacija bez pacijenta
1207,Rodilište - ostali postupci
1024,SEP (slušni evocirani potencijali) kod djeteta
1025,SEP (slušni evocirani potencijali) kod odraslog
969,Skijaskopija
712,Sklerozacija vena
711,Sklerozacija vena pjenom
1012,Skolioza - operacija
1013,Sluh - jednostavno ispitivanje kod djeteta
1014,Sluh - jednostavno ispitivanje kod odraslog
1015,Sluh - složeno ispitivanje kod djeteta
1016,Sluh - složeno ispitivanje kod odraslog
1017,Slušanje - funkcionalna dijagnostika
1023,Slušanje i govor - vježbe
1044,Slušno pomagalo - prilagodba
1018,Slušno pomagalo - provjera funkcionalnosti 
1395,Socijalna psihijatrija - konzultacija bez pacijenta
776,Spekularna mikroskopija
1607,Spermiogram
475,Spirometrija
740,Spirometrija za djecu
775,Srednje zahtjevan oftalmokirurški zahvat u lokalnoj anesteziji
774,Srednje zahtjevan oftalmokirurški zahvat u općoj anesteziji
1033,Stabilometrija kod djeteta
1034,Stabilometrija kod odraslog
1232,Stacionarna rehabilitacija
104,Stomatološka protetika - Kontrolni pregled
103,Stomatološka protetika - Prvi pregled
1264,Stomatološka protetika - konzultacija bez pacijenta
1104,Stomatološka protetika - ostali postupci
580,Stražnji očni segment - kontrolni pregled
579,Stražnji očni segment - prvi pregled
1428,Stražnji segment oka - konzultacija bez pacijenta
1508,Stručna procjena radi ostvarivanja statusa HRVI
1605,Sveobuhvatno gensko profiliranje tumora - kruta biopsija
1665,Sveobuhvatno gensko profiliranje tumora - tekuća biopsija
1039,TCCD (transkranijski kolor dopler) kod odraslog
728,TCCD - transkarnijski color doppler krvnih žila mozga za djecu
1026,TOAE (otoakustička emisija) kod djeteta
1027,TOAE (otoakustička emisija) kod odraslog
773,Teleskopske naočale - određivanje
783,Test na dvoslike
757,Test ortostatskog opterećenja za djecu
439,Tonzile - operacija
60,Torakalna kirurgija - Kontrolni pregled
59,Torakalna kirurgija - Prvi pregled
1411,Torakalna kirurgija - konzultacija bez pacijenta
576,Traheoskopija
1488,Transfuzijska medicina - Kontrolni pregled
1487,Transfuzijska medicina - Prvi pregled
1272,Transfuzijska medicina - konzultacija bez pacijenta
1112,Transfuzijska medicina - ostali postupci
879,Transplantacija amnijske membrane
